title,author,price
Thiết kế kết cấu bê tông cốt thép theo TCVN 5574-2018,Bùi Quốc Bảo,Chỉ từ 29.000₫
AUTOCAD cơ bản cho người mới bắt đầu (Dành cho phiên bản Autocad 2009.2020),Nguyễn Hoành,Chỉ từ 14.000₫
Bài tập Sức bền vật liệu tập 1,Chu Thanh Bình,Chỉ từ 14.000₫
Đầu tư bất động sản,Gary W. Eldred,Chỉ từ 71.000₫
Thiết kế mạng lưới thoát nước đô thị,Phạm Ngọc Sáu,Chỉ từ 24.000₫
Thành phố thông minh - khung quản trị và phát triển,ZAIGHAM MAHMOOD,Chỉ từ 60.000₫
Quy trình pháp lý đầu tư phát triển Dự án nhà ở thương mại,Trần Thanh Tiến,Chỉ từ 45.000₫
Thiết kế liên kết trong kết cấu thép theo tiêu chuẩn Mỹ AISC/LRFD 360-16,TS. Trần Văn Phúc,Chỉ từ 16.000₫
Thiết kế kết cấu thép nhà tiền chế,Nguyễn Hồng Sơn,Chỉ từ 27.000₫
Kết cấu bê tông cốt thép. Phần 2 Kết cấu công trình,Trần Thị Nguyên Hảo,Chỉ từ 16.000₫
Giáo trình xây dựng ứng dụng Web cho thương mại điện tử trên Netbeans,Nguyễn Văn Sinh,Chỉ từ 24.000₫
"Quy trình pháp lý thu hồi đất, trưng dụng đất, bồi thường, hỗ trợ tái định cư và giải quyết khiếu nại, tố cáo, khởi kiện của người có đất thu hồi, trưng dụng",Trần Thanh Tiến,Chỉ từ 36.000₫
Hệ thống giao thông thông minh trong các đô thị thông minh. Các khía cạnh và thách thức của mạng di động và đám mây,Rodolfo I. Meneguette,Chỉ từ 48.000₫
EXCEL nâng cao và các ứng dụng trong xây dựng,ThS. Phan Tự Hướng,Chỉ từ 36.000₫
Giáo trình hệ thống kỹ thuật trong công trình,Nguyễn Thị Huệ,Chỉ từ 15.000₫
AUTODESK REVIT TỔNG HỢP 3 TRONG 1,Lê Duy Phương,Chỉ từ 35.000₫
"Quy trình pháp lý thu hồi đất, trưng...",Trần Thanh Tiến,Chỉ từ 36.000₫
Nội thất và thiết kế nội thất Tập 2,Phạm Đình Việt,210.000₫
Mối quan hệ kiến trúc và các ngành...,Tôn Thất Đại,Chỉ từ 12.000₫
Thành phố thông minh - khung quản trị...,ZAIGHAM MAHMOOD,Chỉ từ 60.000₫
Hệ thống giao thông thông minh trong...,Rodolfo I. Meneguette,Chỉ từ 48.000₫
QCVN 13:2018/BXD Quy chuẩn kỹ thuật quốc gia về gara ô tô,Tiêu chuẩn quốc gia,Chỉ từ 10.000₫
Nội thất và thiết kế nội thất - Tập 1,Phạm Đình Việt,Chỉ từ 39.000₫
Định mức dự toán xây dựng công trình (Ban hành kèm theo TT số 10/2019/TT-BXD ngày 26/12/2019 của Bộ Xây dựng),Bộ Xây Dựng,Chỉ từ 67.000₫
Phân tích kết cấu xây dựng theo phương pháp phần tử hữu hạn và ứng dụng trong phần mềm Ansys,Lâm Thanh Quang Khải,Chỉ từ 23.000₫
Tổ chức không gian nhóm nhà ở chung cư theo hướng kiến trúc xanh,TS. Nguyễn Tiến Đức,Chỉ từ 10.000₫
Gió và tác động của gió lên công trình,Hoàng Nam,Chỉ từ 18.000₫
"Giáo trình cơ học đất, nền và móng",Phan Huy Đông,Chỉ từ 18.000₫
Gia cường kết cấu bê tông cốt thép bằng vật liệu tấm sợi composite,Nguyễn Trung Hiếu,Chỉ từ 12.000₫
Thiết kế kết cấu thép trong công trình xây dựng dân dụng và công nghiệp,Nguyễn Võ Thông,Chỉ từ 19.000₫
Đô thị vị nhân sinh,Jan Gehl,Chỉ từ 53.000₫
Giáo trình kết cấu công trình thép,TS. Lê Anh Thắng,Chỉ từ 27.000₫
Thiết kế kết cấu bê tông cốt thép theo tiêu chuẩn EUROCODE - Cơ sở lý thuyết và ví dụ áp dụng,Bùi Quốc Bảo,Chỉ từ 18.000₫
Tính toán thiết kế nhà cao tầng theo TCVN và tiêu chuẩn Châu Âu (EUROCODE),Đặng Tỉnh,Chỉ từ 19.000₫
Hướng dẫn thực hành thiết kế với REVIT Architecture,Nguyễn Thị Tâm Đan,Chỉ từ 14.000₫
"Ngôi nhà, nơi trú ngụ của trái tim - Tâm lý học nhà ở và nội thất",TOMODA HIROMICHI,Chỉ từ 29.000₫
Ứng dụng AUTODESK REVIT trong thiết kế công trình 3D theo công nghệ BIM REVIT STRUCTURE trong thiết kế kết cấu - Tập 1,Nguyễn Quốc Tới,Chỉ từ 31.000₫
"Quy trình pháp lý thu hồi đất, trưng...",Trần Thanh Tiến,Chỉ từ 36.000₫
Nội thất và thiết kế nội thất Tập 2,Phạm Đình Việt,210.000₫
Mối quan hệ kiến trúc và các ngành...,Tôn Thất Đại,Chỉ từ 12.000₫
Thành phố thông minh - khung quản trị...,ZAIGHAM MAHMOOD,Chỉ từ 60.000₫
Hệ thống giao thông thông minh trong...,Rodolfo I. Meneguette,Chỉ từ 48.000₫
Hướng dẫn thuyết minh tính toán đồ án môn học máy nâng,Dương Trường Giang,Chỉ từ 13.000₫
Kiến trúc và hiện tượng cộng sinh văn hóa,Lê Thanh Sơn,Chỉ từ 16.000₫
"Đất nền, nước ngầm và địa kỹ thuật công trình lãnh thổ Việt Nam",Nguyễn Gia Chính,Chỉ từ 90.000₫
Phần mềm Plaxis 2D Phân tích động trong tính toán thiết kế các công trình xây dựng,Đỗ Ngọc Viện,Chỉ từ 13.000₫
Định mức sử dụng vật liệu xây dựng (Ban hành kèm theo thông tư số 10/2019/TT-BXD ngày 26/12/2019 của Bộ Xây dựng),Bộ Xây Dựng,Chỉ từ 21.000₫
Lý thuyết trường điện từ với các chương trình MATLAB,Trần Văn Chính,Chỉ từ 19.000₫
Hướng dẫn đồ án môn học lập định mức kỹ thuật xây dựng,TS. Nguyễn Liên Hương,Chỉ từ 10.000₫
Kiến trúc nhà ở - Hiểu biết và thiết kế qua minh họa,Trần Minh Tùng,Chỉ từ 33.000₫
Sử dụng ABAQUS để mô phỏng nút liên hợp (Sách chuyên khảo),Lê Anh Thắng,Chỉ từ 12.000₫
"Tài liệu dạy, học Pháp luật (Chương trình đào tạo trình độ cao đẳng)",Bộ Lao động - Thương binh và Xã hội,Chỉ từ 10.000₫
Quy hoạch đô thị (Giáo trình dành cho sinh viên chuyên ngành kiến trúc),Phạm Hùng Cường,Chỉ từ 15.000₫
Vẽ phối cảnh kiến trúc và CAD,Vũ Tiến Đạt,Chỉ từ 10.000₫
Giáo trình Logic mờ & ứng dụng,Lê Xuân Vinh,Chỉ từ 14.000₫
Giáo trình cấu tạo kiến trúc công trình dân dụng,Võ Huy Dũng,Chỉ từ 13.000₫
Cầu vòm ống thép nhồi bê tông,Trần Bảo Xuân,Chỉ từ 54.000₫
Kết cấu bê tông cốt thép ứng suất trước theo tiêu chuẩn ACI 318 - 14 của Hoa Kỳ,TS. Nguyễn Việt Hưng,Chỉ từ 14.000₫
